frase,sentimento
Estou fervendo de raiva com essa falta de ética,raiva
Não tolero mais essa situação!,raiva
Não aguento mais lidar com tanta incompetência,raiva
Estou furioso com essa falta de ética,raiva
Não suporto mais esse comportamento inadequado,raiva
Não aguento mais lidar com tanta incompetência,raiva
Que falta de consideração!,raiva
Estou explodindo de tanta raiva!,raiva
Não aguento mais essa palhaçada,raiva
Não suporto mais essa falta de ética,raiva
Essa atitude me deixa completamente indignado,raiva
Não aguento mais essa palhaçada,raiva
Que coisa mais absurda é essa?,raiva
Estou cheio de raiva dessa atitude,raiva
Não aguento mais essa palhaçada,raiva
Estou fervendo de tanta raiva,raiva
Estou fervendo de raiva com essa falta de ética,raiva
Estou cheio de raiva dessa atitude,raiva
Eu estou farto de suas desculpas esfarrapadas,raiva
Estou furioso com essa falta de profissionalismo,raiva
Não me faça perder a paciência!,raiva
Estou completamente furioso!,raiva
Não aguento mais essa falta de profissionalismo,raiva
Estou completamente irritado com essa situação deplorável,raiva
Essa atitude é revoltante,raiva
Estou furioso com essa situação desrespeitosa,raiva
Estou cheio de raiva dessa atitude,raiva
Estou com vontade de quebrar tudo!,raiva
Essa atitude é revoltante e me deixa enfurecido,raiva
Estou completamente exasperado com essa negligência,raiva
Estou quase tendo um treco de tanta raiva!,raiva
Não suporto mais esse comportamento inadequado,raiva
Não aguento mais essa palhaçada,raiva
Estou em pé de guerra!,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Não vou tolerar mais esse tratamento desrespeitoso,raiva
Essa negligência me deixa extremamente irritado,raiva
Que falta de respeito!,raiva
Estou enfurecido com tanta incompetência,raiva
Não posso aceitar esse tipo de comportamento!,raiva
Estou completamente exasperado com essa falta de transparência,raiva
Estou completamente exasperado com essa falta de transparência,raiva
Estou fervendo de tanta raiva com essa incompetência,raiva
Não dá para engolir isso!,raiva
Isso é inadmissível!,raiva
Essa situação é inaceitável e me deixa enfurecido,raiva
Que absurdo é esse?,raiva
Estou enfurecido com essa falta de respeito,raiva
Estou furioso com tanta falta de responsabilidade,raiva
Não há nada que me irrite mais do que isso,raiva
Estou completamente exasperado com essa negligência,raiva
Isso me deixa louco de ódio!,raiva
Estou completamente irritado com essa situação,raiva
Não posso acreditar na falta de ética desse indivíduo,raiva
Não há paciência que resista!,raiva
Estou completamente irritado com essa situação revoltante,raiva
Estou completamente indignado com essa situação!,raiva
Estou indignado com essa negligência,raiva
Não há nada que me irrite mais do que isso,raiva
Isso é uma afronta!,raiva
Isso é um ultraje!,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Estou farto disso!,raiva
Essa falta de comprometimento me deixa furioso,raiva
Estou com vontade de gritar!,raiva
Não aguento mais essa palhaçada,raiva
Estou indignado com tanta falta de consideração,raiva
Que coisa mais estúpida é essa?,raiva
Não posso acreditar na falta de ética desse indivíduo,raiva
Estou furioso com essa falta de profissionalismo,raiva
Estou enfurecido com tanta incompetência,raiva
Estou furioso com essa falta de ética,raiva
Estou com uma raiva imensa dessa falta de ética,raiva
Estou com uma raiva imensa dessa situação,raiva
Não há nada que me irrite mais do que isso,raiva
Estou furioso com essa situação insuportável,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Não há nada que me irrite mais do que isso,raiva
Estou exasperado com essa falta de respeito,raiva
Isso me deixa louco de ódio!,raiva
Estou fervendo por dentro de tanta raiva!,raiva
Estou em pé de guerra!,raiva
Isso é inadmissível!,raiva
Estou furioso com essa falta de ética,raiva
Não posso acreditar nisso!,raiva
Não há nada que me deixe mais revoltado do que isso,raiva
Que coisa mais patética!,raiva
Estou com uma raiva imensa dessa falta de ética,raiva
Estou possesso de raiva!,raiva
Que desrespeito!,raiva
Estou enfurecido com tanta incompetência,raiva
Não vou aceitar mais essa falta de comprometimento,raiva
Estou com vontade de gritar!,raiva
Estou enfurecido com tanta incompetência,raiva
Não aguento mais lidar com tanta incompetência,raiva
Estou vermelho de tanta raiva!,raiva
Que absurdo é esse?,raiva
Estou com uma raiva imensa dessa bagunça,raiva
Estou possesso de raiva!,raiva
Estou com uma raiva imensa dessa situação,raiva
Estou com uma raiva que não cabe em mim!,raiva
Estou com a corda toda de tanto ódio!,raiva
Não suporto mais esse comportamento inadequado,raiva
Estou cheio de raiva dessa atitude,raiva
Não suporto mais essa falta de respeito,raiva
Estou completamente enraivecido com essa falta de consideração,raiva
Estou enfurecido com essa falta de profissionalismo,raiva
Essa situação é inadmissível e me deixa furioso,raiva
Estou enfurecido com tanta falta de respeito,raiva
Essa atitude me deixa revoltado,raiva
Estou extremamente irritado com essa situação insuportável,raiva
Que raiva!,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Estou furioso com essa falta de transparência,raiva
Estou completamente irritado!,raiva
Estou prestes a explodir!,raiva
Estou furioso com essa falta de responsabilidade,raiva
Estou prestes a explodir!,raiva
Estou explodindo de tanta raiva!,raiva
Não suporto mais esse comportamento inadequado,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Estou completamente irritado com essa situação lamentável,raiva
Essa situação é inadmissível e me deixa indignado,raiva
Não suporto mais essa falta de profissionalismo,raiva
Não aguento mais essa bagunça,raiva
Isso me tira do sério!,raiva
Estou farto de lidar com tanta incompetência,raiva
Não vou suportar mais esse tratamento desrespeitoso,raiva
Estou completamente indignado com essa situação,raiva
Não suporto mais esse comportamento inadequado,raiva
Essa atitude me deixa revoltado,raiva
Não posso aceitar isso!,raiva
Não há quem aguente isso!,raiva
Não suporto mais esse comportamento inadequado,raiva
Estou quase tendo um ataque de tanta raiva!,raiva
Essa situação é inaceitável e me deixa enfurecido,raiva
Estou completamente irritado com essa falta de comprometimento,raiva
Essa falta de comprometimento me deixa furioso,raiva
Isso é um ultraje!,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Estou fervendo de tanta raiva,raiva
Estou furioso com essa falta de transparência,raiva
Estou exasperado com essa falta de respeito,raiva
Que coisa mais estúpida!,raiva
Estou enfurecido com tanta incompetência,raiva
Estou completamente irritado com essa falta de comprometimento,raiva
Estou completamente irritado com essa situação,raiva
Que coisa mais estúpida é essa?,raiva
Não aguento mais lidar com tanta incompetência,raiva
Não suporto mais essa falta de responsabilidade,raiva
Que raiva!,raiva
Estou indignado com essa falta de ética,raiva
Não aguento mais lidar com tanta falta de ética,raiva
Não tolero isso!,raiva
Estou extremamente irritado com essa incompetência,raiva
Estou furioso com tamanha negligência,raiva
Que coisa mais desaforada é essa?,raiva
Estou enfurecido!,raiva
Estou completamente irritado com essa falta de comprometimento,raiva
Essa situação me irrita profundamente,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Essa atitude é revoltante,raiva
Estou indignado com essa falta de profissionalismo,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Estou com uma raiva imensa dessa falta de respeito,raiva
Estou completamente exasperado com essa situação,raiva
Não suporto mais essa falta de profissionalismo,raiva
Estou com um ódio que não cabe em mim!,raiva
Estou possesso de raiva!,raiva
Isso me irrita profundamente!,raiva
Que horror!,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Não me faça perder a paciência!,raiva
Que falta de respeito!,raiva
Não posso acreditar na falta de ética desse indivíduo,raiva
Estou enfurecido com essa falta de profissionalismo,raiva
Essa falta de comprometimento me deixa furioso,raiva
Não suporto mais essa falta de consideração,raiva
Essa falta de ética me deixa furioso,raiva
Estou completamente exasperado com essa negligência,raiva
Essa situação é uma afronta e me deixa furioso,raiva
Estou indignado com tanta incompetência,raiva
Estou extremamente irritado com essa bagunça,raiva
Estou fervendo de tanta raiva,raiva
Não há paciência que resista!,raiva
Estou indignado com essa falta de profissionalismo,raiva
Estou com uma raiva imensa dessa bagunça,raiva
Isso é um desrespeito sem tamanho!,raiva
Estou fervendo de raiva!,raiva
Estou com vontade de socar algo!,raiva
Não posso acreditar na falta de ética desse indivíduo,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Estou indignado com essa negligência,raiva
Estou indignado com tanta negligência,raiva
Estou com a corda toda de tanto ódio!,raiva
Estou completamente exasperado com essa bagunça,raiva
Não vou tolerar mais esse tratamento desrespeitoso,raiva
Estou com vontade de gritar!,raiva
Estou enfurecido com essa falta de respeito,raiva
Estou furioso com essa falta de respeito,raiva
Estou completamente irritado com essa situação inaceitável,raiva
Essa atitude me deixa revoltado,raiva
Estou revoltado!,raiva
Não tolero mais essa falta de respeito!,raiva
Que coisa mais absurda é essa?,raiva
Estou farto dessa falta de profissionalismo,raiva
Que coisa mais desaforada é essa?,raiva
Estou com uma raiva imensa dessa situação,raiva
Não tolero mais essa falta de respeito!,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Isso é um desrespeito sem tamanho!,raiva
Não suporto mais esse comportamento inadequado,raiva
Estou extremamente irritado com essa bagunça,raiva
Estou completamente irritado com essa situação revoltante,raiva
Estou extremamente irritado com essa falta de consideração,raiva
Estou com um ódio que nem se explica!,raiva
Estou prestes a perder o controle!,raiva
Essa atitude é revoltante e me deixa furioso,raiva
Estou furioso com essa falta de profissionalismo,raiva
Não há paciência que resista!,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Estou prestes a perder o controle!,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Que coisa mais estúpida!,raiva
Estou quase tendo um ataque de tanta raiva!,raiva
Que falta de consideração!,raiva
Estou indignado com tanta falta de ética,raiva
Estou enfurecido com tanta incompetência,raiva
Estou furioso com essa falta de respeito,raiva
Essa atitude é simplesmente inaceitável,raiva
Estou possesso de raiva!,raiva
Estou enfurecido com tanta incompetência,raiva
Não aguento mais essa bagunça,raiva
Estou com vontade de quebrar tudo!,raiva
Não suporto mais esse comportamento inadequado,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Estou com uma raiva imensa dessa situação insuportável,raiva
Essa falta de ética me deixa furioso,raiva
Não vou tolerar mais essa falta de consideração,raiva
Estou furioso com essa falta de respeito,raiva
Essa falta de comprometimento me deixa extremamente irritado,raiva
Não vou aceitar mais essa falta de comprometimento,raiva
Estou completamente indignado com essa situação!,raiva
Que coisa mais revoltante é essa?,raiva
Estou enfurecido com tanta incompetência,raiva
Estou indignado com tanta falta de profissionalismo,raiva
Estou fulo da vida!,raiva
Estou exasperado com essa falta de respeito,raiva
Não aguento mais essa situação desrespeitosa,raiva
Estou completamente exasperado com essa falta de transparência,raiva
Não tolero mais essa situação!,raiva
Essa negligência me deixa extremamente irritado,raiva
Estou completamente irritado com essa situação insuportável,raiva
Estou fervendo de tanta raiva,raiva
Isso é inadmissível!,raiva
Não há nada que me irrite mais do que isso,raiva
Não há paciência que resista!,raiva
Não aguento mais lidar com tanta falta de ética,raiva
Não aguento mais essa palhaçada,raiva
Que coisa mais inaceitável!,raiva
Estou enfurecido com tanta incompetência,raiva
Que coisa mais patética!,raiva
Estou em pé de guerra!,raiva
Estou exasperado com essa falta de respeito,raiva
Não vou tolerar mais esse comportamento inadequado,raiva
Estou fervendo de raiva!,raiva
Estou completamente indignado com essa situação,raiva
Essa falta de comprometimento me deixa furioso,raiva
Não suporto mais essa falta de consideração,raiva
Estou enfurecido com tanta falta de respeito,raiva
Estou furioso com essa falta de profissionalismo,raiva
Estou furioso com essa falta de profissionalismo,raiva
Não suporto mais esse comportamento inadequado,raiva
Não há nada que me deixe mais revoltado do que isso,raiva
Estou com uma raiva imensa dessa falta de ética,raiva
Estou completamente exasperado com essa negligência,raiva
Não suporto mais essa falta de ética,raiva
Estou com vontade de gritar!,raiva
Estou com uma raiva imensa dessa negligência,raiva
Estou com uma raiva imensa dessa falta de comprometimento,raiva
Estou completamente indignado com essa situação!,raiva
Estou fervendo de tanta raiva,raiva
Essa atitude me deixa completamente indignado,raiva
Essa atitude me deixa completamente indignado,raiva
Estou completamente exasperado com essa incompetência,raiva
Estou com uma raiva enorme dessa situação,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Isso me deixa louco de ódio!,raiva
Essa atitude me deixa completamente indignado,raiva
Essa atitude é simplesmente inaceitável,raiva
Estou enfurecido com tanta incompetência,raiva
Estou completamente indignado com essa situação,raiva
Não suporto mais essa situação desrespeitosa,raiva
Estou extremamente irritado com essa bagunça,raiva
Estou fervendo de raiva!,raiva
Não suporto mais esse comportamento inadequado,raiva
Estou furioso com essa falta de ética,raiva
Não suporto mais essa falta de profissionalismo,raiva
Não há nada que me deixe mais furioso do que isso,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Estou completamente exasperado com essa falta de respeito,raiva
Estou com ódio!,raiva
Estou cheio de raiva dessa atitude,raiva
Essa situação me irrita profundamente,raiva
Não há paciência que resista!,raiva
Estou indignado com tanta falta de profissionalismo,raiva
Essa falta de transparência me deixa enfurecido,raiva
Estou furioso com essa falta de profissionalismo,raiva
Essa atitude é revoltante e me deixa furioso,raiva
Estou com um ódio mortal!,raiva
Não aguento mais essa palhaçada,raiva
Não suporto mais esse comportamento inadequado,raiva
Não aguento mais essa bagunça,raiva
Estou completamente irritado com essa situação,raiva
Não tolero mais essa situação!,raiva
Estou exasperado com essa falta de respeito,raiva
Estou prestes a perder o controle!,raiva
Essa falta de comprometimento me deixa extremamente irritado,raiva
Estou completamente exasperado com essa negligência,raiva
Essa situação é uma afronta e me deixa furioso,raiva
Estou completamente exasperado com essa negligência,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Estou com uma raiva imensa!,raiva
Estou fervendo de tanta raiva com essa situação,raiva
Não há nada que me deixe mais irritado do que isso,raiva
Estou furioso com essa falta de transparência,raiva
Essa situação é um absurdo e me deixa enfurecido,raiva
Estou indignado com tanta incompetência,raiva
Estou triste por não poder te consolar,tristeza
Melancolia: Maneira romântica de ficar triste.,tristeza
As horas mais tristes da vida são aquelas em que duvidamos de nós próprios.,tristeza
Maior que a tristeza de não haver vencido é a vergonha de não ter lutado!,tristeza
Aquele que nunca viu a tristeza nunca reconhecerá a alegria,tristeza
terminei com meu namorado,tristeza
meu namorado terminou comigo,tristeza
terminei meu relacionamento,tristeza
A árvore quando está sendo cortada observa com tristeza que o cabo do machado é de madeira,tristeza
A vida não é triste. Tem horas tristes.,tristeza
Às vezes a tristeza vem sem motivo,tristeza
Sinto-me em um precipício emocional,tristeza
Estou com um aperto no coração,tristeza
Sinto-me desencantado com o mundo,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
Estou triste por não poder te ver,tristeza
Estou me sentindo desiludido,tristeza
Sinto-me sufocado,tristeza
Sinto-me desanimado ultimamente,tristeza
Estou com um aperto no coração,tristeza
A tristeza é profunda,tristeza
Estou me sentindo desencorajado,tristeza
Estou triste por não poder te confortar,tristeza
A dor é constante,tristeza
A tristeza é avassaladora,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
Sinto-me nostálgico pelas lembranças,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Estou em um mar de desespero,tristeza
A dor é como um fogo que queima,tristeza
Sinto-me como um espetro,tristeza
A escuridão me envolve,tristeza
Às vezes a tristeza é avassaladora,tristeza
Sinto-me em uma caverna escura,tristeza
Estou em um túnel sem luz,tristeza
Sinto-me em um cemitério de esperanças,tristeza
Sinto-me abandonado,tristeza
Estou me sentindo desanimado com as notícias,tristeza
Sinto um vazio,tristeza
Sinto-me como um náufrago emocional,tristeza
Sinto-me incompleto,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
Choro em silêncio,tristeza
Estou triste por não poder te ajudar,tristeza
Sinto-me como um náufrago emocional,tristeza
Estou em uma montanha de tristeza,tristeza
Às vezes a tristeza toma conta de mim,tristeza
Estou em um mar de desespero,tristeza
Sinto-me para baixo,tristeza
Sinto-me em uma caverna escura,tristeza
Estou triste por não poder te ver,tristeza
Estou me sentindo desconsolado,tristeza
Sinto-me desencantado com a vida,tristeza
A angústia me sufoca,tristeza
Estou triste por não poder te abraçar,tristeza
Estou triste por não poder te ver,tristeza
Sinto-me em um campo minado,tristeza
Estou me sentindo desanimado com as notícias,tristeza
Sinto-me perdido,tristeza
Estou em um vale sombrio,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Às vezes a tristeza parece não ter fim,tristeza
Estou em um terreno pantanoso,tristeza
Estou me sentindo abatido,tristeza
A dor é como uma sombra,tristeza
A vida perdeu o brilho,tristeza
Sinto-me desamparado diante disso,tristeza
Estou em um deserto da alma,tristeza
Sinto-me desesperado por dentro,tristeza
Às vezes a tristeza é difícil de suportar,tristeza
Estou afogando em tristeza,tristeza
Sinto-me em um terreno instável,tristeza
Às vezes a tristeza é como uma tempestade,tristeza
Sinto-me como uma marionete,tristeza
Estou triste por não poder te consolar,tristeza
Estou triste por não poder estar lá,tristeza
Estou em um mar de lágrimas,tristeza
Sinto-me frágil,tristeza
Estou me sentindo desiludido com tudo isso,tristeza
Sinto-me triste por não poder fazer mais,tristeza
Às vezes a tristeza é difícil de suportar,tristeza
Estou me sentindo desmotivado para tudo,tristeza
Estou triste por não poder te ver,tristeza
Sinto-me em um vale de lágrimas,tristeza
Sinto-me desamparado,tristeza
A vida perdeu o brilho,tristeza
Estou em um vale sombrio,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Estou me sentindo desiludido com tudo isso,tristeza
Estou me sentindo desmotivado para continuar lutando,tristeza
Às vezes a tristeza vem sem motivo,tristeza
Estou em um campo de batalha,tristeza
Sinto-me só,tristeza
Estou me sentindo desanimado com as notícias,tristeza
Estou me sentindo desmotivado para continuar lutando,tristeza
Às vezes a tristeza é como uma prisão,tristeza
Estou me sentindo desconsolado com essa situação,tristeza
Estou triste por causa das lembranças,tristeza
Estou em um labirinto de tristeza,tristeza
Estou afogando em tristeza,tristeza
Estou me sentindo desanimado com as notícias,tristeza
Não consigo sorrir,tristeza
A dor é lancinante,tristeza
Estou em um deserto emocional,tristeza
Estou triste por não poder estar aí,tristeza
Às vezes a tristeza é como uma ferida aberta,tristeza
Estou triste por não poder consertar isso para você,tristeza
Estou me sentindo desconsolado com essa perda,tristeza
Estou triste por não poder te ver,tristeza
Estou triste por não poder consertar isso para você,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
Estou em um precipício emocional,tristeza
Às vezes a tristeza é como um fardo,tristeza
Estou me sentindo desanimado com essa perda,tristeza
Estou me sentindo desencorajado,tristeza
meu carro quebrou,tristeza
minha comida queimou,tristeza
meu telefone quebrou,tristeza
Às vezes a tristeza parece invencível,tristeza
Às vezes a tristeza é difícil de suportar,tristeza
Sinto-me nostálgico pelas lembranças antigas,tristeza
Estou me sentindo desencorajado,tristeza
A tristeza é como um vazio,tristeza
Choro em silêncio,tristeza
Às vezes a tristeza é como um vazio,tristeza
Sinto-me triste por não poder fazer mais,tristeza
Sinto-me nostálgico pelas lembranças,tristeza
Às vezes a tristeza vem sem motivo,tristeza
Estou me sentindo sozinho hoje,tristeza
Sinto-me como um náufrago emocional,tristeza
Sinto falta de você,tristeza
meu namorado terminou comigo,tristeza
Sinto-me em uma caverna escura,tristeza
Sinto-me desamparado diante disso,tristeza
Estou com um aperto no coração,tristeza
Estou triste por não poder estar aí para segurar sua mão,tristeza
Sinto-me em um buraco negro emocional,tristeza
Sinto-me desesperado por dentro,tristeza
Estou triste por causa das lembranças,tristeza
Às vezes a tristeza é paralisante,tristeza
Estou em um abismo emocional,tristeza
As lágrimas caem,tristeza
A tristeza parece me acompanhar,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Às vezes a tristeza parece invencível,tristeza
Estou me sentindo desconsolado por dentro,tristeza
Às vezes a tristeza é como um peso,tristeza
Estou me sentindo desamparado por tudo,tristeza
A vida perdeu o encanto,tristeza
Estou triste por não poder compartilhar isso,tristeza
A tristeza é minha companheira,tristeza
Às vezes a tristeza parece invencível,tristeza
Estou me sentindo desiludido com as pessoas,tristeza
Estou em um beco sem saída,tristeza
O mundo desabou,tristeza
A felicidade se foi,tristeza
Estou triste por não poder te consolar,tristeza
Estou me sentindo desiludido com as pessoas,tristeza
Estou me sentindo desanimado com as notícias,tristeza
Sinto-me desalentado,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Estou triste por não poder fazer mais,tristeza
Estou triste por não poder superar isso,tristeza
A tristeza é como uma sombra,tristeza
A saudade machuca,tristeza
Estou em um mar de lágrimas,tristeza
Estou triste por não poder estar aí para você,tristeza
Sinto-me como um náufrago emocional,tristeza
Às vezes a tristeza é como uma tempestade,tristeza
Sinto-me em um ciclo de dor,tristeza
Sinto-me desesperado por dentro,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Às vezes a tristeza é como um fardo,tristeza
Estou me sentindo desmotivado para continuar lutando,tristeza
A angústia me sufoca,tristeza
Estou triste por não poder te abraçar,tristeza
Às vezes a tristeza vem sem motivo,tristeza
Estou triste por não poder consertar isso para você,tristeza
Estou triste por não poder consertar isso para você,tristeza
Às vezes a tristeza parece não ter fim,tristeza
O coração dói,tristeza
Estou triste por não poder estar aí para segurar sua mão,tristeza
frase,tristeza
O desespero é palpável,tristeza
Estou em um deserto,tristeza
Às vezes a tristeza é como um labirinto,tristeza
A vida perdeu o sentido,tristeza
Sinto-me triste por não poder fazer mais,tristeza
Estou em um mar revolto,tristeza
Às vezes a tristeza é como uma prisão,tristeza
Estou desanimado,tristeza
Às vezes a tristeza é como um buraco negro,tristeza
Estou triste por não poder te fazer sorrir hoje,tristeza
Às vezes a tristeza é como uma escuridão,tristeza
Sinto-me desesperado por dentro,tristeza
Às vezes a tristeza é como uma tempestade,tristeza
Estou triste por não poder estar lá,tristeza
Estou em um campo de batalha emocional,tristeza
Às vezes a tristeza é paralisante,tristeza
Sinto-me um prisioneiro,tristeza
Estou em um túnel sem luz,tristeza
Às vezes a tristeza é como um fardo,tristeza
A alma está em frangalhos,tristeza
Sinto-me desamparado diante disso,tristeza
A tristeza é como um vazio,tristeza
Às vezes a tristeza é como um vazio,tristeza
Sinto-me como um náufrago emocional,tristeza
Sinto-me um náufrago,tristeza
A tristeza é como uma névoa densa,tristeza
Estou triste por não poder estar aí para você,tristeza
Às vezes a tristeza parece invencível,tristeza
Estou em um abismo emocional,tristeza
Sinto-me sufocado,tristeza
Às vezes a tristeza é difícil de suportar,tristeza
A dor é como um fogo que queima,tristeza
Estou triste por não poder consertar isso para você,tristeza
Sinto-me desalentado,tristeza
A tristeza é como uma névoa densa,tristeza
Às vezes a tristeza é difícil de suportar,tristeza
Às vezes a tristeza é avassaladora,tristeza
Estou me sentindo desconsolado com essa situação,tristeza
Sinto-me em uma encruzilhada emocional,tristeza
Às vezes a tristeza é avassaladora,tristeza
Sinto-me desesperado,tristeza
Estou me sentindo desmotivado para tudo,tristeza
O desespero é palpável,tristeza
Estou em um campo de batalha,tristeza
Às vezes a tristeza parece invencível,tristeza
Estou me sentindo desencantado,tristeza
Estou me sentindo desmotivado,tristeza
Estou com um aperto no coração,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
Sinto-me nostálgico pelas lembranças,tristeza
Estou triste por não poder consertar isso para você,tristeza
Estou triste por não poder te abraçar,tristeza
A solidão machuca,tristeza
Sinto-me triste por não poder mudar isso,tristeza
Estou triste por não poder te ver,tristeza
Sinto-me um estranho,tristeza
Estou me sentindo desmotivado,tristeza
Às vezes a tristeza é como uma ferida aberta,tristeza
Estou em um deserto de emoções,tristeza
Não consigo sorrir,tristeza
A saudade machuca,tristeza
frase,tristeza
Estou em um abismo emocional,tristeza
A dor é insuportável,tristeza
Estou com um aperto no coração,tristeza
Estou me sentindo desanimado com as notícias,tristeza
Estou triste por não poder te ver,tristeza
Sinto-me triste por não poder fazer mais,tristeza
Estou me sentindo desmotivado para continuar,tristeza
A tristeza é como um veneno,tristeza
Sinto-me um prisioneiro,tristeza
Estou triste por não poder estar aí,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Estou triste,tristeza
Estou me sentindo desiludido,tristeza
A vida perdeu o brilho,tristeza
A tristeza é como um furacão,tristeza
A felicidade se foi,tristeza
Sinto-me para baixo,tristeza
Estou em um abismo emocional,tristeza
Estou me sentindo desanimado com tudo isso que está acontecendo,tristeza
Às vezes a tristeza vem sem motivo,tristeza
Estou me sentindo desmotivado para tudo,tristeza
Sinto-me desesperado,tristeza
Estou triste por não poder te abraçar agora,tristeza
Estou triste por não poder estar aí para você,tristeza
Estou triste por não poder superar isso,tristeza
Estou triste por não poder te fazer entender,tristeza
Sinto-me frágil,tristeza
Estou me sentindo desconsolado com essa perda,tristeza
Sinto-me desencantado com as perspectivas,tristeza
Estou triste por causa das lembranças,tristeza
Sinto-me em um mundo cinza,tristeza
Estou triste por não poder te confortar,tristeza
A alma está em frangalhos,tristeza
Sinto-me desesperado,tristeza
Estou me sentindo deprimido,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Sinto-me melancólico por dentro,tristeza
Estou triste,tristeza
Sinto-me em um cemitério de esperanças,tristeza
A felicidade se foi,tristeza
Estou triste por causa das lembranças,tristeza
Sinto falta de você,tristeza
Estou me sentindo desanimado com tudo isso,tristeza
A alma está ferida,tristeza
O desânimo é grande,tristeza
A dor é constante,tristeza
Estou triste por não poder estar lá,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
Estou triste por não poder estar aí para você,tristeza
Estou me sentindo desiludido com as pessoas,tristeza
Estou triste por não poder estar aí,tristeza
A tristeza é minha companheira,tristeza
A alma chora,tristeza
Sinto-me desprotegido,tristeza
Estou me sentindo desanimado com essa perda,tristeza
Às vezes a tristeza é avassaladora,tristeza
Estou me sentindo desolado,tristeza
Sinto-me desencantado com a vida,tristeza
Sinto-me em um vórtice de tristeza,tristeza
Sinto-me melancólico por dentro,tristeza
Estou em uma jornada solitária,tristeza
Sinto-me impotente,tristeza
Às vezes a tristeza é como uma tempestade,tristeza
Estou me sentindo desencorajado,tristeza
Sinto-me desesperado por dentro,tristeza
Estou me sentindo desmotivado para continuar lutando,tristeza
A tristeza é minha companheira,tristeza
Estou em um deserto,tristeza
Estou me sentindo desmotivado para tudo,tristeza
Sinto-me um náufrago,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Às vezes a tristeza é como um labirinto,tristeza
Às vezes a tristeza é como uma ferida que não cicatriza,tristeza
Sinto-me nostálgico,tristeza
Sinto-me nostálgico pelas lembranças,tristeza
O coração aperta,tristeza
Às vezes a tristeza é como um peso,tristeza
Sinto-me desencantado com as circunstâncias,tristeza
A tristeza é como um veneno,tristeza
Sinto falta de você,tristeza
Sinto-me como uma marionete,tristeza
Sinto-me desesperado por dentro,tristeza
Estou me sentindo desmotivado,tristeza
Estou em uma montanha de tristeza,tristeza
Estou me sentindo desencantado,tristeza
A dor é dilacerante,tristeza
Sinto-me desencantado com as circunstâncias,tristeza
O mundo parece cruel,tristeza
Sinto-me desencantado com o mundo,tristeza
Sinto-me em um buraco negro emocional,tristeza
Sinto-me em um terreno instável,tristeza
Estou triste por não poder te ajudar,tristeza
A angústia é perturbadora,tristeza
Estou me sentindo abatido,tristeza
A vida perdeu o sentido,tristeza
Sinto-me em um vale de lágrimas,tristeza
Estou em um labirinto,tristeza
Estou me sentindo desencantado,tristeza
Não consigo sorrir,tristeza
Estou em um beco sem saída,tristeza
Às vezes a tristeza é como um rio sem fim,tristeza
O mundo desabou,tristeza
Sinto-me em um terreno instável,tristeza
Sinto-me como um espetro,tristeza
Estou vazio por dentro,tristeza
Sinto-me para baixo,tristeza
Sinto-me em uma caverna escura,tristeza
A tristeza é como um monstro,tristeza
Estou triste por não poder compartilhar isso,tristeza
A tristeza é como um vazio,tristeza
Às vezes a tristeza é como uma tempestade,tristeza
Sinto-me em um vale de lágrimas,tristeza
Estou em um túnel sem luz,tristeza
Estou me sentindo desanimado com essa perda,tristeza
Às vezes a tristeza vem sem motivo,tristeza
